Country,date,vaccine,total_vaccinations
France,2021/5/22,Oxford/AstraZeneca,4738901
France,2021/5/22,Pfizer/BioNTech,25070391
France,2021/5/23,Johnson&Johnson,208078
France,2021/5/23,Moderna,3079805
France,2021/5/23,Oxford/AstraZeneca,4742118
France,2021/5/23,Pfizer/BioNTech,25204074
France,2021/5/24,Johnson&Johnson,209070
France,2021/5/24,Moderna,3098863
France,2021/5/24,Oxford/AstraZeneca,4747711
France,2021/5/24,Pfizer/BioNTech,25473364
France,2021/5/25,Johnson&Johnson,216577
France,2021/5/25,Moderna,3132055
France,2021/5/25,Oxford/AstraZeneca,4797953
France,2021/5/25,Pfizer/BioNTech,25970178
France,2021/5/26,Johnson&Johnson,224224
France,2021/5/26,Moderna,3163246
France,2021/5/26,Oxford/AstraZeneca,4853761
France,2021/5/26,Pfizer/BioNTech,26475468
France,2021/5/27,Johnson&Johnson,238468
France,2021/5/27,Moderna,3198707
France,2021/5/27,Oxford/AstraZeneca,4937692
France,2021/5/27,Pfizer/BioNTech,27008566
France,2021/5/28,Johnson&Johnson,264938
France,2021/5/28,Moderna,3242922
France,2021/5/28,Oxford/AstraZeneca,5044149
France,2021/5/28,Pfizer/BioNTech,27518905
France,2021/5/29,Johnson&Johnson,276203
France,2021/5/29,Moderna,3281360
France,2021/5/29,Oxford/AstraZeneca,5107611
France,2021/5/29,Pfizer/BioNTech,27852920
France,2021/5/30,Johnson&Johnson,277084
France,2021/5/30,Moderna,3287730
France,2021/5/30,Oxford/AstraZeneca,5116270
France,2021/5/30,Pfizer/BioNTech,27975843
France,2021/5/31,Johnson&Johnson,289611
France,2021/5/31,Moderna,3334959
France,2021/5/31,Oxford/AstraZeneca,5154448
France,2021/5/31,Pfizer/BioNTech,28437870
France,2021/6/1,Johnson&Johnson,309654
France,2021/6/1,Moderna,3400451
France,2021/6/1,Oxford/AstraZeneca,5222380
France,2021/6/1,Pfizer/BioNTech,28959413
France,2021/6/2,Johnson&Johnson,324030
France,2021/6/2,Moderna,3457039
France,2021/6/2,Oxford/AstraZeneca,5283244
France,2021/6/2,Pfizer/BioNTech,29471876
France,2021/6/3,Johnson&Johnson,343321
France,2021/6/3,Moderna,3531451
France,2021/6/3,Oxford/AstraZeneca,5374131
France,2021/6/3,Pfizer/BioNTech,30005081
France,2021/6/4,Johnson&Johnson,365669
France,2021/6/4,Moderna,3620884
France,2021/6/4,Oxford/AstraZeneca,5483216
France,2021/6/4,Pfizer/BioNTech,30541444
France,2021/6/5,Johnson&Johnson,375311
France,2021/6/5,Moderna,3679245
France,2021/6/5,Oxford/AstraZeneca,5537314
France,2021/6/5,Pfizer/BioNTech,30910920
France,2021/6/6,Johnson&Johnson,376263
France,2021/6/6,Moderna,3690287
France,2021/6/6,Oxford/AstraZeneca,5543051
France,2021/6/6,Pfizer/BioNTech,31073771
France,2021/6/7,Johnson&Johnson,385305
France,2021/6/7,Moderna,3741368
France,2021/6/7,Oxford/AstraZeneca,5575451
France,2021/6/7,Pfizer/BioNTech,31578831
France,2021/6/8,Johnson&Johnson,399781
France,2021/6/8,Moderna,3810509
France,2021/6/8,Oxford/AstraZeneca,5624562
France,2021/6/8,Pfizer/BioNTech,32127972
France,2021/6/9,Johnson&Johnson,411841
France,2021/6/9,Moderna,3865516
France,2021/6/9,Oxford/AstraZeneca,5668512
France,2021/6/9,Pfizer/BioNTech,32674196
France,2021/6/10,Johnson&Johnson,427092
France,2021/6/10,Moderna,3927076
France,2021/6/10,Oxford/AstraZeneca,5738522
France,2021/6/10,Pfizer/BioNTech,33215851
France,2021/6/11,Johnson&Johnson,443941
France,2021/6/11,Moderna,4007443
France,2021/6/11,Oxford/AstraZeneca,5837665
France,2021/6/11,Pfizer/BioNTech,33761363
France,2021/6/12,Johnson&Johnson,451294
France,2021/6/12,Moderna,4057683
France,2021/6/12,Oxford/AstraZeneca,5879553
France,2021/6/12,Pfizer/BioNTech,34154676
France,2021/6/13,Johnson&Johnson,452151
France,2021/6/13,Moderna,4070114
France,2021/6/13,Oxford/AstraZeneca,5883550
France,2021/6/13,Pfizer/BioNTech,34315335
France,2021/6/14,Johnson&Johnson,458690
France,2021/6/14,Moderna,4119454
France,2021/6/14,Oxford/AstraZeneca,5927079
France,2021/6/14,Pfizer/BioNTech,34810606
France,2021/6/15,Johnson&Johnson,469482
France,2021/6/15,Moderna,4181195
France,2021/6/15,Oxford/AstraZeneca,6008979
France,2021/6/15,Pfizer/BioNTech,35347532
France,2021/6/16,Johnson&Johnson,478253
France,2021/6/16,Moderna,4232731
France,2021/6/16,Oxford/AstraZeneca,6075851
France,2021/6/16,Pfizer/BioNTech,35889435
France,2021/6/17,Johnson&Johnson,489020
France,2021/6/17,Moderna,4295381
France,2021/6/17,Oxford/AstraZeneca,6179213
France,2021/6/17,Pfizer/BioNTech,36399962
France,2021/6/18,Johnson&Johnson,501325
France,2021/6/18,Moderna,4370914
France,2021/6/18,Oxford/AstraZeneca,6298931
France,2021/6/18,Pfizer/BioNTech,36954832
France,2021/6/19,Johnson&Johnson,506827
France,2021/6/19,Moderna,4420270
France,2021/6/19,Oxford/AstraZeneca,6339087
France,2021/6/19,Pfizer/BioNTech,37356964
France,2021/6/20,Johnson&Johnson,507461
France,2021/6/20,Moderna,4433552
France,2021/6/20,Oxford/AstraZeneca,6342567
France,2021/6/20,Pfizer/BioNTech,37515066
France,2021/6/21,Johnson&Johnson,512406
France,2021/6/21,Moderna,4493700
France,2021/6/21,Oxford/AstraZeneca,6382490
France,2021/6/21,Pfizer/BioNTech,38005860
France,2021/6/22,Johnson&Johnson,520153
France,2021/6/22,Moderna,4571562
France,2021/6/22,Oxford/AstraZeneca,6453471
France,2021/6/22,Pfizer/BioNTech,38537976
France,2021/6/23,Johnson&Johnson,527147
France,2021/6/23,Moderna,4642879
France,2021/6/23,Oxford/AstraZeneca,6505157
France,2021/6/23,Pfizer/BioNTech,39079794
France,2021/6/24,Johnson&Johnson,535667
France,2021/6/24,Moderna,4721505
France,2021/6/24,Oxford/AstraZeneca,6583592
France,2021/6/24,Pfizer/BioNTech,39563583
France,2021/6/25,Johnson&Johnson,545649
France,2021/6/25,Moderna,4815248
France,2021/6/25,Oxford/AstraZeneca,6674901
France,2021/6/25,Pfizer/BioNTech,40116120
France,2021/6/26,Johnson&Johnson,550318
France,2021/6/26,Moderna,4890817
France,2021/6/26,Oxford/AstraZeneca,6708606
France,2021/6/26,Pfizer/BioNTech,40525035
France,2021/6/27,Johnson&Johnson,550938
France,2021/6/27,Moderna,4922692
France,2021/6/27,Oxford/AstraZeneca,6712743
France,2021/6/27,Pfizer/BioNTech,40699973
France,2021/6/28,Johnson&Johnson,555559
