,location,date,vaccine,total_vaccinations
16277,European Union,2021/2/21,Sinopharm/Beijing,0
16278,European Union,2021/2/21,Sputnik V,18484
16279,European Union,2021/2/22,Johnson&Johnson,98
16280,European Union,2021/2/22,Moderna,1015050
16281,European Union,2021/2/22,Oxford/AstraZeneca,1329391
16282,European Union,2021/2/22,Pfizer/BioNTech,25564145
16283,European Union,2021/2/22,Sinopharm/Beijing,0
16284,European Union,2021/2/22,Sputnik V,18484
16285,European Union,2021/2/23,Johnson&Johnson,99
16286,European Union,2021/2/23,Moderna,1037447
16287,European Union,2021/2/23,Oxford/AstraZeneca,1408907
16288,European Union,2021/2/23,Pfizer/BioNTech,25928347
16289,European Union,2021/2/23,Sinopharm/Beijing,0
16290,European Union,2021/2/23,Sputnik V,18484
16291,European Union,2021/2/24,Johnson&Johnson,100
16292,European Union,2021/2/24,Moderna,1061361
16293,European Union,2021/2/24,Oxford/AstraZeneca,1504529
16294,European Union,2021/2/24,Pfizer/BioNTech,26300839
16295,European Union,2021/2/24,Sinopharm/Beijing,0
16296,European Union,2021/2/24,Sputnik V,18484
16297,European Union,2021/2/25,Johnson&Johnson,100
16298,European Union,2021/2/25,Moderna,1084690
16299,European Union,2021/2/25,Oxford/AstraZeneca,1651078
16300,European Union,2021/2/25,Pfizer/BioNTech,26689132
16301,European Union,2021/2/25,Sinopharm/Beijing,0
16302,European Union,2021/2/25,Sputnik V,18484
16303,European Union,2021/2/26,Johnson&Johnson,105
16304,European Union,2021/2/26,Moderna,1255664
16305,European Union,2021/2/26,Oxford/AstraZeneca,2888327
16306,European Union,2021/2/26,Pfizer/BioNTech,29022652
16307,European Union,2021/2/26,Sinopharm/Beijing,162077
16308,European Union,2021/2/26,Sputnik V,19321
16309,European Union,2021/2/27,Johnson&Johnson,106
16310,European Union,2021/2/27,Moderna,1269952
16311,European Union,2021/2/27,Oxford/AstraZeneca,3029981
16312,European Union,2021/2/27,Pfizer/BioNTech,29235325
16313,European Union,2021/2/27,Sinopharm/Beijing,162077
16314,European Union,2021/2/27,Sputnik V,19321
16315,European Union,2021/2/28,Johnson&Johnson,108
16316,European Union,2021/2/28,Moderna,1277019
16317,European Union,2021/2/28,Oxford/AstraZeneca,3105670
16318,European Union,2021/2/28,Pfizer/BioNTech,29358931
16319,European Union,2021/2/28,Sinopharm/Beijing,162077
16320,European Union,2021/2/28,Sputnik V,19321
16321,European Union,2021/3/1,Johnson&Johnson,108
16322,European Union,2021/3/1,Moderna,1304604
16323,European Union,2021/3/1,Oxford/AstraZeneca,3239498
16324,European Union,2021/3/1,Pfizer/BioNTech,29707171
16325,European Union,2021/3/1,Sinopharm/Beijing,162077
16326,European Union,2021/3/1,Sputnik V,19321
16327,European Union,2021/3/2,Johnson&Johnson,108
16328,European Union,2021/3/2,Moderna,1335974
16329,European Union,2021/3/2,Oxford/AstraZeneca,3423905
16330,European Union,2021/3/2,Pfizer/BioNTech,30111610
16331,European Union,2021/3/2,Sinopharm/Beijing,162077
16332,European Union,2021/3/2,Sputnik V,19321
16333,European Union,2021/3/3,Johnson&Johnson,108
16334,European Union,2021/3/3,Moderna,1376888
16335,European Union,2021/3/3,Oxford/AstraZeneca,3626846
16336,European Union,2021/3/3,Pfizer/BioNTech,30562975
16337,European Union,2021/3/3,Sinopharm/Beijing,162077
16338,European Union,2021/3/3,Sputnik V,19321
16339,European Union,2021/3/4,Johnson&Johnson,108
16340,European Union,2021/3/4,Moderna,1426794
16341,European Union,2021/3/4,Oxford/AstraZeneca,3881722
16342,European Union,2021/3/4,Pfizer/BioNTech,31021691
16343,European Union,2021/3/4,Sinopharm/Beijing,162077
16344,European Union,2021/3/4,Sputnik V,19321
16345,European Union,2021/3/5,Johnson&Johnson,141
16346,European Union,2021/3/5,Moderna,1776651
16347,European Union,2021/3/5,Oxford/AstraZeneca,5301280
16348,European Union,2021/3/5,Pfizer/BioNTech,33527182
16349,European Union,2021/3/5,Sinopharm/Beijing,368592
16350,European Union,2021/3/5,Sputnik V,22756
16351,European Union,2021/3/6,Johnson&Johnson,146
16352,European Union,2021/3/6,Moderna,1815034
16353,European Union,2021/3/6,Oxford/AstraZeneca,5582865
16354,European Union,2021/3/6,Pfizer/BioNTech,33875675
16355,European Union,2021/3/6,Sinopharm/Beijing,368592
16356,European Union,2021/3/6,Sputnik V,22756
16357,European Union,2021/3/7,Johnson&Johnson,149
16358,European Union,2021/3/7,Moderna,1841354
16359,European Union,2021/3/7,Oxford/AstraZeneca,5746658
16360,European Union,2021/3/7,Pfizer/BioNTech,34120366
16361,European Union,2021/3/7,Sinopharm/Beijing,368592
16362,European Union,2021/3/7,Sputnik V,22756
16363,European Union,2021/3/8,Johnson&Johnson,152
16364,European Union,2021/3/8,Moderna,1885092
16365,European Union,2021/3/8,Oxford/AstraZeneca,5958446
16366,European Union,2021/3/8,Pfizer/BioNTech,34521873
16367,European Union,2021/3/8,Sinopharm/Beijing,368592
16368,European Union,2021/3/8,Sputnik V,22756
16369,European Union,2021/3/9,Johnson&Johnson,153
16370,European Union,2021/3/9,Moderna,1937124
16371,European Union,2021/3/9,Oxford/AstraZeneca,6220893
16372,European Union,2021/3/9,Pfizer/BioNTech,34977632
16373,European Union,2021/3/9,Sinopharm/Beijing,368592
16374,European Union,2021/3/9,Sputnik V,22756
16375,European Union,2021/3/10,Johnson&Johnson,155
16376,European Union,2021/3/10,Moderna,1985973
16377,European Union,2021/3/10,Oxford/AstraZeneca,6506567
16378,European Union,2021/3/10,Pfizer/BioNTech,35486271
16379,European Union,2021/3/10,Sinopharm/Beijing,368592
16380,European Union,2021/3/10,Sputnik V,22756
16381,European Union,2021/3/11,Johnson&Johnson,157
16382,European Union,2021/3/11,Moderna,2038533
16383,European Union,2021/3/11,Oxford/AstraZeneca,6850837
16384,European Union,2021/3/11,Pfizer/BioNTech,36010044
16385,European Union,2021/3/11,Sinopharm/Beijing,368592
16386,European Union,2021/3/11,Sputnik V,22756
16387,European Union,2021/3/12,Johnson&Johnson,216
16388,European Union,2021/3/12,Moderna,2339846
16389,European Union,2021/3/12,Oxford/AstraZeneca,8540859
16390,European Union,2021/3/12,Pfizer/BioNTech,38608040
16391,European Union,2021/3/12,Sinopharm/Beijing,492383
16392,European Union,2021/3/12,Sputnik V,54724
16393,European Union,2021/3/13,Johnson&Johnson,216
16394,European Union,2021/3/13,Moderna,2378044
16395,European Union,2021/3/13,Oxford/AstraZeneca,8865173
16396,European Union,2021/3/13,Pfizer/BioNTech,38977706
16397,European Union,2021/3/13,Sinopharm/Beijing,492383
16398,European Union,2021/3/13,Sputnik V,54724
16399,European Union,2021/3/14,Johnson&Johnson,218
16400,European Union,2021/3/14,Moderna,2399900
16401,European Union,2021/3/14,Oxford/AstraZeneca,9003051
16402,European Union,2021/3/14,Pfizer/BioNTech,39216804
16403,European Union,2021/3/14,Sinopharm/Beijing,492383
16404,European Union,2021/3/14,Sputnik V,54724
16405,European Union,2021/3/15,Johnson&Johnson,222
16406,European Union,2021/3/15,Moderna,2451437
16407,European Union,2021/3/15,Oxford/AstraZeneca,9208517
16408,European Union,2021/3/15,Pfizer/BioNTech,39664638
16409,European Union,2021/3/15,Sinopharm/Beijing,492383
16410,European Union,2021/3/15,Sputnik V,54724
16411,European Union,2021/3/16,Johnson&Johnson,229
16412,European Union,2021/3/16,Moderna,2517508
16413,European Union,2021/3/16,Oxford/AstraZeneca,9226811
16414,European Union,2021/3/16,Pfizer/BioNTech,40189889
16415,European Union,2021/3/16,Sinopharm/Beijing,492383
16416,European Union,2021/3/16,Sputnik V,54724
16417,European Union,2021/3/17,Johnson&Johnson,230
16418,European Union,2021/3/17,Moderna,2588242
16419,European Union,2021/3/17,Oxford/AstraZeneca,9243989
16420,European Union,2021/3/17,Pfizer/BioNTech,40764508
16421,European Union,2021/3/17,Sinopharm/Beijing,492383
16422,European Union,2021/3/17,Sputnik V,54724
16423,European Union,2021/3/18,Johnson&Johnson,238
16424,European Union,2021/3/18,Moderna,2661416
16425,European Union,2021/3/18,Oxford/AstraZeneca,9262951
16426,European Union,2021/3/18,Pfizer/BioNTech,41344166
16427,European Union,2021/3/18,Sinopharm/Beijing,492383
16428,European Union,2021/3/18,Sputnik V,54724
16429,European Union,2021/3/19,Johnson&Johnson,317
16430,European Union,2021/3/19,Moderna,3063913
16431,European Union,2021/3/19,Oxford/AstraZeneca,9992512
16432,European Union,2021/3/19,Pfizer/BioNTech,44215017
16433,European Union,2021/3/19,Sinopharm/Beijing,505062
16434,European Union,2021/3/19,Sputnik V,143314
16435,European Union,2021/3/20,Johnson&Johnson,321
16436,European Union,2021/3/20,Moderna,3124538
16437,European Union,2021/3/20,Oxford/AstraZeneca,10189658
16438,European Union,2021/3/20,Pfizer/BioNTech,44600338
16439,European Union,2021/3/20,Sinopharm/Beijing,505062
16440,European Union,2021/3/20,Sputnik V,143314
16441,European Union,2021/3/21,Johnson&Johnson,324
16442,European Union,2021/3/21,Moderna,3165843
16443,European Union,2021/3/21,Oxford/AstraZeneca,10301703
16444,European Union,2021/3/21,Pfizer/BioNTech,44847848
16445,European Union,2021/3/21,Sinopharm/Beijing,505062
16446,European Union,2021/3/21,Sputnik V,143314
16447,European Union,2021/3/22,Johnson&Johnson,327
16448,European Union,2021/3/22,Moderna,3231486
16449,European Union,2021/3/22,Oxford/AstraZeneca,10505686
16450,European Union,2021/3/22,Pfizer/BioNTech,45334696
16451,European Union,2021/3/22,Sinopharm/Beijing,505062
16452,European Union,2021/3/22,Sputnik V,143314
16453,European Union,2021/3/23,Johnson&Johnson,333
16454,European Union,2021/3/23,Moderna,3301278
16455,European Union,2021/3/23,Oxford/AstraZeneca,10790862
